date,avito_shows,avito_views,avito_fav,avito_contacts,avito_spend,direct_search_shows,direct_search_clicks,direct_search_leads_form,direct_search_leads_msgr,direct_search_spend,direct_rsya_shows,direct_rsya_clicks,direct_rsya_leads_form,direct_rsya_leads_msgr,direct_rsya_spend,direct_mk_shows,direct_mk_clicks,direct_mk_leads_form,direct_mk_leads_msgr,direct_mk_spend,lenin_discovery,lenin_direct,lenin_photo,lenin_reviews,lenin_route,lenin_site,lenin_phone,teply_discovery,teply_direct,teply_photo,teply_reviews,teply_route,teply_site,teply_phone,gis_shows,gis_position,qual_avito,qual_direct,qual_maps,qual_gis,qual_organic,qual_tg,qual_other,sales_avito,sales_direct,sales_maps,sales_gis,sales_organic,sales_tg,sales_other,maps_leads,maps_calls,gis_leads,tg_button,tg_dm,direct_visits,seo_leads,referral_leads,unknown_leads
2026-07-13,6348,568,45,41,32137,2836,146,11,4,7170,7478,57,1,0,772,0,0,0,0,0,510,105,34,21,26,19,3,203,33,7,2,4,4,0,311,9,2,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2026-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2026-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
2026-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,0,0,1,0,1,0,0,0,0,2,1,1,1,1,1,1,0,0
2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
2026-07-20,5292,464,37,38,25771,3347,135,11,8,6093,8421,61,1,0,786,2162,40,1,1,917,450,109,54,20,21,14,1,144,46,10,2,5,5,0,210,8,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
2026-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2026-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0
2026-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2026-07-27,6647,690,55,35,38034,3346,152,7,7,6946,8776,73,1,0,977,2186,42,1,1,873,512,113,39,12,16,13,6,125,43,15,6,7,4,1,226,9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
2026-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,2,2,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0
2026-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,1,2,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0
2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
2026-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2026-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
2026-08-03,5929,493,39,28,28354,3536,142,6,7,7048,7099,54,0,0,830,2027,34,1,0,756,493,132,51,14,19,18,2,151,46,13,2,5,4,0,287,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2026-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,0,0,2,0,1,0,0,0,0,2,0,1,1,1,0,0,1,0
2026-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0
2026-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
2026-08-10,6538,596,47,32,31728,3096,139,8,5,6161,7503,66,1,0,951,1940,38,0,0,789,652,90,40,19,21,19,4,174,43,10,4,8,4,1,306,5,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
2026-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0
2026-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,1,0,1,0,0,0,1,1,2,0,1,0,1,1,0,0,0
2026-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2026-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0
2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,1,2,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0
2026-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
2026-08-17,6260,515,41,41,27026,3708,169,14,8,7337,9697,83,1,0,1217,2092,44,1,1,885,715,92,45,10,22,24,5,176,47,9,6,6,4,1,179,6,2,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0
2026-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2026-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,0,1,0,2,0,0,1,0,0,2,0,0,0,1,1,1,0,0
2026-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
2026-08-24,6672,537,42,43,29332,3718,168,9,8,7991,8006,71,1,0,944,2161,46,1,0,1043,530,142,49,14,27,14,1,164,32,8,4,7,6,1,202,9,2,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2026-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2026-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,2,1,0,1,1,0,0,2,1,0,1,1,0,0,0,1,1,0,0
2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
2026-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0
2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0
2026-08-31,7524,785,62,67,48140,3834,149,11,3,7841,9802,73,1,1,1074,2525,52,1,1,1043,593,160,44,6,27,20,3,204,52,14,3,7,6,0,155,5,2,1,2,0,2,2,0,2,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
2026-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2026-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1
2026-09-07,6428,551,44,40,31188,3127,161,11,9,7500,8017,55,0,0,799,2043,39,1,0,864,379,116,35,18,24,19,1,186,29,14,3,4,4,0,180,4,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
2026-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,2,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1
2026-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,2,0,0,1,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0
2026-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1
2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1
2026-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
